TaskID,UrgencyScore,FairnessCorrection,CongestionRisk,VEPS_PriorityScore,AssignedResourceLayer,AssignedResourceID,PlacementUtility
VSDT-00001,0.445,0.85,0.2866,0.6524,Peer Edge,EDGE-09,0.7129
VSDT-00002,0.5021,0.85,0.3023,0.7104,Peer Edge,EDGE-07,0.7609
VSDT-00003,0.6172,0.85,0.2314,0.5897,Local Edge,EDGE-01,0.7447
VSDT-00004,0.6044,0.85,0.4557,0.4452,Local Edge,EDGE-05,0.5794
VSDT-00005,0.654,0.0,0.3649,0.5698,Local Edge,EDGE-06,0.6407
VSDT-00006,0.4437,-0.55,0.459,0.4484,Local Edge,EDGE-06,0.515
VSDT-00007,0.3461,0.85,0.2673,0.4606,Local Edge,EDGE-03,0.6708
VSDT-00008,0.6961,0.1429,0.3857,0.5493,Local Edge,EDGE-05,0.622
VSDT-00009,0.3826,-0.55,0.3289,0.604,Local Edge,EDGE-04,0.6202
VSDT-00010,0.8316,0.3333,0.3499,0.3965,Peer Edge,EDGE-11,0.5363
VSDT-00011,0.5872,-0.2,0.2655,0.322,Cloud,CLOUD-13,0.5116
VSDT-00012,0.6139,-0.55,0.244,0.6701,Local Edge,EDGE-02,0.6691
VSDT-00013,0,0.0,0.4825,0.3352,Local Edge,EDGE-06,0.4906
VSDT-00014,0.4605,0.5385,0.2172,0.3204,Cloud,CLOUD-14,0.5387
VSDT-00015,0.65,-0.55,0.4029,0.5486,Local Edge,EDGE-02,0.5669
VSDT-00016,0.5785,0.6,0.3483,0.5302,Local Edge,EDGE-02,0.6527
VSDT-00017,0.5479,0.25,0.3573,0.6802,Local Edge,EDGE-06,0.6901
VSDT-00018,0.1459,0.2941,0.4491,0.3808,Local Edge,EDGE-01,0.579
VSDT-00019,0.0984,-0.55,0.3969,0.4151,Local Edge,EDGE-06,0.5766
VSDT-00020,0,-0.2632,0.6039,0.3353,Peer Edge,EDGE-09,0.4481
VSDT-00021,0.6132,0.85,0.2105,0.5919,Local Edge,EDGE-04,0.7312
VSDT-00022,0.6507,0.1,0.2626,0.6933,Local Edge,EDGE-06,0.6983
VSDT-00023,0.5952,0.7143,0.5336,0.593,Peer Edge,EDGE-09,0.625
VSDT-00024,0.3991,0.1818,0.4904,0.6409,Local Edge,EDGE-01,0.61
VSDT-00025,0,-0.55,0.4417,0.1397,Cloud,CLOUD-14,0.3697
VSDT-00026,0.1794,0.0,0.3938,0.333,Peer Edge,EDGE-07,0.5251
VSDT-00027,0.6612,0.52,0.2853,0.5949,Local Edge,EDGE-02,0.6965
VSDT-00028,0.8178,0.52,0.3215,0.6157,Local Edge,EDGE-01,0.6905
VSDT-00029,0.1925,-0.55,0.5473,0.2511,Peer Edge,EDGE-08,0.3855
VSDT-00030,0.8165,-0.1111,0.4265,0.5306,Peer Edge,EDGE-08,0.5615
