TaskID,RecordDate,ScenarioCode,ScenarioName,DepartmentID,DepartmentName,CourseType,LabType,SessionType,TaskClass,BatchSize,ExamCriticalFlag,SkillCriticality,CPU_Demand,GPU_Demand,Memory_Demand,Bandwidth_Demand,ExpectedRuntime,ClassStartTime,ClassEndTime,ArrivalTime,Deadline,LatencyTolerance,ContinuitySensitivity,MigrationTolerance,EdgeQueueLength,NodeUtilization,NetworkRTT,PacketLossRate,LabOccupancy,NodeHealthScore,PredictedNextSlotLoad
VSDT-00001,2026-01-06,NORMAL,Normal teaching day,DMED,Digital Media,Media Pipeline Synchronization,XR Media Studio,Assessment,Automated Assessment,21,1,0.902,71.0,14.68,14.42,61.7,22.9,2026-01-06 15:30:00,2026-01-06 17:00:00,2026-01-06 16:01:58,2026-01-06 16:34:10,100.72,0.608,0.361,3,0.508,26.63,0.998,0.48,0.834,0.314
VSDT-00002,2026-01-06,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,Fuel-Cell Catalyst Characterization,NEM Digital Simulation Laboratory,Assessment,Automated Assessment,34,1,1,38.2,40.66,12.65,102.01,15.29,2026-01-06 10:30:00,2026-01-06 11:45:00,2026-01-06 10:51:45,2026-01-06 11:18:15,67.31,0.715,0.431,8,0.532,10.13,0.099,0.709,0.926,0.911
VSDT-00003,2026-01-06,NORMAL,Normal teaching day,IMFG,Intelligent Manufacturing,Quality Inspection Simulation,Smart Manufacturing Lab,Simulation,Interactive Simulation,22,0,0.859,62.04,34.58,12.94,104.45,12.38,2026-01-06 10:30:00,2026-01-06 12:15:00,2026-01-06 11:18:41,2026-01-06 11:40:14,139.34,0.784,0.156,5,0.369,26.19,0.276,0.645,0.958,0.357
VSDT-00004,2026-01-06,NET_DEG,Network degradation,AUTO,Automotive Technology,Battery Pack Safety Demonstration,Automotive Simulation Lab,Sync,Content Synchronization,39,0,0.524,40.17,2.59,2.63,101.63,14.42,2026-01-06 08:30:00,2026-01-06 10:00:00,2026-01-06 09:03:34,2026-01-06 09:25:53,282.96,0.515,0.765,2,0.598,109.56,4.496,0.439,0.798,0.466
VSDT-00005,2026-01-06,NORMAL,Normal teaching day,NEM,New Energy Materials,DFT-Assisted Materials Property Demonstration,Battery Materials Lab,Practice,Immersive Practical Session,43,0,0.957,91.47,100,25.14,158.45,23.8,2026-01-06 08:30:00,2026-01-06 10:15:00,2026-01-06 08:34:00,2026-01-06 09:08:56,115.41,0.99,0.23,3,0.648,41.82,0.805,0.545,0.92,0.422
VSDT-00006,2026-01-06,NET_DEG,Network degradation,NEM,New Energy Materials,High-Resolution Microscopy Stream Analysis,Photovoltaic Characterization Lab,Assessment,Automated Assessment,45,0,0.994,49.52,28.52,8.35,49.27,19.91,2026-01-06 15:30:00,2026-01-06 17:00:00,2026-01-06 15:59:49,2026-01-06 16:33:17,106.8,0.665,0.247,0,0.64,96.16,5.984,0.402,0.81,0.345
VSDT-00007,2026-01-06,NORMAL,Normal teaching day,ELEC,Electronics Training,Embedded Systems Practical,Electronics Training Lab,Simulation,Interactive Simulation,23,0,0.717,59.89,22.21,12.53,98.58,13.16,2026-01-06 15:30:00,2026-01-06 17:00:00,2026-01-06 16:22:45,2026-01-06 16:47:06,111.23,0.685,0.325,5,0.461,16.88,0.959,0.671,0.93,0.565
VSDT-00008,2026-01-06,OVERLAP,Overlapping practical classes,ELEC,Electronics Training,Power Electronics Lab,Electronics Training Lab,Assessment,Automated Assessment,35,0,0.89,33.55,14.42,11.62,42.87,14.59,2026-01-06 10:30:00,2026-01-06 12:00:00,2026-01-06 10:33:03,2026-01-06 10:59:28,129.06,0.837,0.373,15,0.591,16.35,0.284,0.686,0.908,0.639
VSDT-00009,2026-01-06,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,Molecular Dynamics of Solid Electrolytes,NEM Digital Simulation Laboratory,Assessment,Automated Assessment,33,1,1,44.38,12.55,9.75,75.09,11.16,2026-01-06 10:30:00,2026-01-06 12:15:00,2026-01-06 11:31:04,2026-01-06 11:58:11,108.27,0.783,0.37,9,0.53,24.02,0.463,0.924,0.828,0.82
VSDT-00010,2026-01-06,NET_DEG,Network degradation,IMFG,Intelligent Manufacturing,CNC Virtual Workshop,CNC Simulation Lab,Sync,Content Synchronization,34,0,0.253,13.88,11.04,5.0,210.32,6.87,2026-01-06 10:30:00,2026-01-06 12:30:00,2026-01-06 10:44:31,2026-01-06 11:02:16,212.72,0.478,0.75,7,0.395,78.53,3.207,0.548,0.844,0.596
